Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],time_interval
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,317.584470493786,285.502193911933,344.224180834998,347.415239227515,338.739396092888,363.541467336977,367.485849348994,410.861610383694,418.523170604681,490.272834014231,544.689294061525,527.197336508957,570.676061364151,582.103975873526,576.487817324819,566.881129708434,564.920840615235,563.488236495596,553.973306037506,559.140953983718,529.144909726945,407.616505242601,372.615894847401,..,..
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1291.29727050593,1255.05386899751,1194.04854221934,1156.24567995177,1148.12269266216,1166.64986414815,1198.02399420515,1212.72061995852,1203.77403963405,1204.90430190117,1212.37712300742,1223.25160445364,1237.97555874199,1242.14535287991,1277.38934088707,1320.91939479882,1370.75905920203,1422.78245875003,1445.00742212705,1418.63432683542,1452.8148924309,1471.63415425157,1457.53673624625,1478.38491893964,1495.76436190656,1498.80508358802,1490.85968760001,1490.79764777701,1490.70105690211,1483.41565936888,1404.55453762636,1430.42477123168,1444.52296162055,1445.80112832401,0.342473432991684
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1257.61144976982,1237.77211868896,1234.7989916148,1186.8247739576,1152.66354396541,1143.9745307755,1165.83534077521,1185.79401122254,1196.03758093162,1182.51436683682,1195.29087201524,1223.30635937634,1307.9760783801,1342.53375411557,1409.95582480549,1450.91766871867,1486.78372559586,1525.74042479396,1576.90683193421,1629.62265915117,1694.96924106361,1727.93727577387,1766.97203396373,1824.48479760788,1880.85879743829,1882.51880807768,1835.38722851563,1827.85840573529,1830.94562280839,1841.43611582242,1776.47413406784,1801.09277468254,1822.95546017158,1837.21171758696,1.14859031604983
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1606.29646776458,1163.49159838489,1086.4387714304,1197.58090750054,1305.00106057165,1488.02088119627,1633.55200001885,1464.29796254199,1603.64765027651,1821.87313102694,1960.88245974115,2143.52683947815,2247.49808010881,2380.64462078713,2522.44937446209,2675.50863709675,2851.36775919961,3044.89661682055,3298.47890843532,3432.1708719722,3577.11432498868,3678.04770145146,3736.34007957648,3780.69919254096,3855.76074409659,3952.80357364813,4090.37272829183,4249.8200493985,4431.55559506989,4543.38771048312,4418.66087378292,4857.11194201819,5155.29085964151,5394.18241000709,3.67087831139642
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3585.58520283506,3459.07973804104,3440.45938336662,3293.58839269752,3195.87045075458,3254.2921443403,3328.5053659085,3309.01878705143,3425.63926271334,3486.16574275228,3568.25031352992,3625.07457895912,3769.6367430891,3960.6614821006,4081.05366180396,4243.15389550051,4303.73357789544,4365.50134409673,4398.81828825629,4372.37117773506,4497.861364832,4545.67799799778,4565.20032665602,4592.67656993188,4687.2885753528,4741.49977033558,4829.18582949082,4806.63125479311,4782.03470679763,4737.12977369971,4422.97947188314,4515.57399918347,4602.57560847786,4717.39932878428,0.831321093507394
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,12804.4358444426,12980.7222956862,13105.1690778892,13136.4800805944,12690.5291104991,13029.6162843735,12795.0245577508,12378.1701945665,12532.3111237111,12656.6881389142,12247.6352882148,12098.2751505435,12494.9802110307,13101.5418159165,13116.4309769201,12442.8576653719,13049.3301536176,13288.3565565116,14214.6464600557,14464.8140504798,14969.0599426218,..,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,30578.0600025164,30301.629920381,29596.0221717198,28363.3389412823,28144.3743971676,28051.3900228678,28797.8532010859,31149.3556530509,31895.9807843604,32966.236846457,33901.1769735096,35722.5288901566,35749.9289119891,37250.295189537,38696.4946069776,39307.1408551822,40994.4476088348,42724.5671994464,41470.4379328172,40442.7851067907,40937.2740669219,41486.1994746048,39174.8972867328,37597.7053313215,38402.6492611904,38885.5303222983,39886.6400844155,39321.6143090537,39320.0924463621,39413.790877787,34394.4140397243,36616.1007608814,39720.951858885,40161.7695253033,0.826159932981775
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2339.4735610838,2285.37319337246,2083.1566629752,1534.26313753154,1505.86974101131,1675.70809067559,1840.35408233832,1909.46893678705,1934.5579476363,1913.99891888388,1909.5020620136,1925.50803001238,2116.85167905643,2106.98586428642,2257.15235995983,2505.65502911723,2696.44109550935,2964.33544957422,3176.67216178097,3087.81142958911,3105.44965509745,3094.73391488944,3235.17460430041,3270.96634497214,3304.68114752866,3217.33924005417,3023.91631900009,2914.12713925236,2777.84304168235,2666.25391548367,2435.02485427339,2387.42990701717,2385.11995566245,2333.71877506136,-0.00746331547397587
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13109.7642935137,13330.7280795178,13271.3977621805,13722.7890627249,14368.709829503,13475.9082793308,14077.8230002762,14551.9961541616,14956.1376280045,15248.2378975637,15927.908388285,14972.0975277549,14933.8695653725,15662.8336503037,16384.3344482436,17242.3482864659,19187.0307909482,20687.6871294913,20377.9377692928,17667.848771473,16062.015811277,15559.6619731223,15911.0962823771,15668.4355109479,15882.3092572073,15985.5411386971,16526.4361374728,16830.3962602848,17901.0409130559,18357.6788222183,14803.7695057464,15921.095120946,17335.047039518,17902.3799187494,0.944170732989533
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4289.59407119461,4257.7099114869,4415.27578460561,4410.59546606943,4430.00855138145,4439.95102570176,4534.74620050506,4648.80969966849,4763.7207406056,4743.79497740172,4943.78370028588,4916.36652732193,4841.80990815737,4969.09601284167,5294.69054826602,5456.80288339561,5649.71746630005,5749.82289830924,5909.0899306809,5781.09249176107,5915.22328108342,5996.19731323797,6163.26806391183,6176.53352175478,6184.05219256416,6258.60722652973,6350.53133204611,6315.84749940046,6348.44634514788,6324.08975235336,5879.17698534988,6081.27425507157,6320.536509978,6263.55667122628,1.14713962348548
