"State","Type","Year","Median","p20","p80","N"
"National","Large Non-Residential",2004,11.1,10,12,28
"National","Large Non-Residential",2005,10.5,9,11.3,37
"National","Large Non-Residential",2006,10.3,9.2,11.4,51
"National","Large Non-Residential",2007,10.1,8.4,11.9,83
"National","Large Non-Residential",2008,10.2,8.6,11.6,112
"National","Large Non-Residential",2009,10,8.3,11.3,127
"National","Large Non-Residential",2010,7.7,6.6,9.2,282
"National","Large Non-Residential",2011,6.5,5.6,8.1,594
"National","Large Non-Residential",2012,6,4.6,8,623
"National","Large Non-Residential",2013,4.6,3.5,6,480
"National","Large Non-Residential",2014,4,3.2,5.4,528
"National","Large Non-Residential",2015,3.7,2.8,4.7,559
"National","Large Non-Residential",2016,3.4,2.6,4.5,1201
"National","Large Non-Residential",2017,3.1,2.4,4.1,1378
"National","Large Non-Residential",2018,3,2.2,4,1307
"National","Large Non-Residential",2019,2.7,2.1,3.7,1146
"National","Large Non-Residential",2020,2.5,2,3.5,1115
"National","Large Non-Residential",2021,2.3,1.8,3.2,1068
"National","Large Non-Residential",2022,2.2,1.7,3.1,1194
"National","Large Non-Residential",2023,2.3,1.7,3.1,1060
