"State","Type","Year","Median","p20","p80","N"
"National","Residential",2000,14.3,9.2,16.4,98
"National","Residential",2001,14,12.3,16.8,697
"National","Residential",2002,14.3,12.5,16.8,1395
"National","Residential",2003,12.9,11.4,14.9,2329
"National","Residential",2004,12,10.5,13.5,4013
"National","Residential",2005,11.4,10.2,12.7,3650
"National","Residential",2006,11.6,10.5,12.9,6231
"National","Residential",2007,11.9,10.7,13.1,9888
"National","Residential",2008,11.4,10.2,12.6,10921
"National","Residential",2009,10.8,9.5,12.3,18678
"National","Residential",2010,9.2,7.9,11,25106
"National","Residential",2011,8.2,7,10.1,24700
"National","Residential",2012,6.9,5.6,9,22837
"National","Residential",2013,5.9,4.9,7.3,27557
"National","Residential",2014,5.4,4.5,6.8,29881
"National","Residential",2015,5.3,4.5,6.4,67691
"National","Residential",2016,5.1,4.3,6.2,113306
"National","Residential",2017,4.8,3.9,5.8,107807
"National","Residential",2018,4.5,3.7,5.5,124857
"National","Residential",2019,4.5,3.6,5.4,143136
"National","Residential",2020,4.5,3.6,5.5,143536
"National","Residential",2021,4.4,3.4,5.5,188741
"National","Residential",2022,4.3,3.3,5.5,263600
"National","Residential",2023,4.2,3.2,5.5,288825
