"State","Type","Year","Median","p20","p80","N"
"National","Small Non-Residential",2001,13.3,12,15.7,34
"National","Small Non-Residential",2002,13.4,12.1,15.6,89
"National","Small Non-Residential",2003,12.8,11.4,15.2,195
"National","Small Non-Residential",2004,11.8,10.4,13.4,332
"National","Small Non-Residential",2005,11.4,10.1,12.9,321
"National","Small Non-Residential",2006,11.4,10.1,14,439
"National","Small Non-Residential",2007,11.7,10.4,13.6,613
"National","Small Non-Residential",2008,11.4,10.1,12.9,910
"National","Small Non-Residential",2009,11,9.3,12.7,1408
"National","Small Non-Residential",2010,9.2,7.5,11.3,2409
"National","Small Non-Residential",2011,7.9,6.6,9.8,2859
"National","Small Non-Residential",2012,6.7,5.6,8.7,2567
"National","Small Non-Residential",2013,5.4,4.3,6.8,1616
"National","Small Non-Residential",2014,5,4,6.4,1506
"National","Small Non-Residential",2015,4.6,3.8,5.8,1935
"National","Small Non-Residential",2016,4.4,3.6,5.5,3441
"National","Small Non-Residential",2017,4,3.1,5.2,3571
"National","Small Non-Residential",2018,3.7,3,4.8,3837
"National","Small Non-Residential",2019,3.7,2.9,4.7,3477
"National","Small Non-Residential",2020,3.5,2.7,4.6,3314
"National","Small Non-Residential",2021,3.2,2.5,4.3,3241
"National","Small Non-Residential",2022,3.1,2.3,4.3,3364
"National","Small Non-Residential",2023,3.2,2.5,4.3,4122
